id;codes;comentarios;impressaodiagnostica;status;statusData;organ;organData;order
347;REMPD;<var1> cm de comprimento em plano dorsal. Moderada perda da diferenciação corticomedular;Rins: caso clinicamente indicado sugerem-se exames complementares.;ANORMAL;not_normal;RIM ESQUERDO;rim_esquerdo;0
346;JEJNDN;jejuno apresentando espessamento focal em camada muscular, medindo aproximadamente <var1> cm, associado a perda de estratificação parietal. Jejuno medindo <var2> cm.;Jejuno: não se descarta processo neoplásico. Caso clinicamente indicado, sugerem-se exames complementares e acompanhamento ultrassonográfico.;ANORMAL;not_normal;INTESTINO DELGADO;intestino_delgado;0
345;SUBMFEL;"Submucosa espessada, medindo <var1> cm em espessura maior.";Submucosa espessada em felinos pode ser um indicativo de deposição de gordura, porém, não se descarta processo neoplásico. Sugerem-se exames complementares e acompanhamento ultrassonográfico a critério clínico.;ANORMAL;not_normal;ESTÔMAGO;estomago;0
344;BAMA;Em baço nota-se estrutura de aspecto massa, medindo pelo menos <var1> cm x <var2> cm, de margens irregulares e limites mal definidos. Vascularização presente ao modo Power Doppler.;Massa esplênica. Dentre os principais diagnósticos diferencias  incluem-se o de processo neoplásico. Caso clinicamente indicado, sugerem-se exames complementates.;ANORMAL;not_normal;BAÇO;baco;0
343;FIGUVA;de dimensões dentro dos limites do gradil costal, superfície rugosa, margens afiladas e irregulares, ecotextura pouco heterogênea. Ecogenicidade mista. Arquitetura vascular portal e intra-hepática tortuosas.;Fígado: processo inflamatório/infeccioso crônico e/ou processo neoplásico.;ANORMAL;not_normal;FÍGADO;figado;0
342;TDECAB;Falta descrição e impressão diagnóstica do código TDECAB;Falta descrição e impressão diagnóstica do código TDECAB;ANORMAL;not_normal;TESTÍCULOS;testiculos;0
341;TEECAB;Falta descrição e impressão diagnóstica do código TEECAB;Falta descrição e impressão diagnóstica do código TEECAB;ANORMAL;not_normal;TESTÍCULOS;testiculos;0
340;LNPREA;linfonodo portal medindo <var1> cm x <var2> cm, com margens pouco irregulares, limites bem definidos, ecotextura homogênea e com ecogenicidade diminuída.;Linfonodo portal reativo a processo inflamatório/infeccioso, não podendo descartar por completo processo neoplásico.;ANORMAL;not_normal;LINFONODOS;linfonodos;0
338;BXCIA;FALTA CADASTRAR BXCIA!!!!;FALTA CADASTRAR BXCIA!!!!;ANORMAL;not_normal;BEXIGA;bexiga;0
337;REHIF;formato mantido e localizado em topografia habitual, medindo <var1> cm de comprimento em plano dorsal. Com aumento de ecogenicidade de corticais. Não há evidências sonográficas de hidronefrose ou imagens compatíveis com cálculos.;Rim esquerdo: O aumento de ecogenicidade de cortical renal é compatível com a idade ou peso do paciente, porém frente, suspeita de nefropatia aguda, sugere-se exames complementares.;ANORMAL;not_normal;RIM ESQUERDO;rim_esquerdo;0
336;REMPDC;rim esquerdo com tamanho preservado, medindo <var1> cm, moderada perda da diferenciação corticomedular. Relação corticomedular preservada.;Não se descarta nefropatia. Caso clinicamente indicado, sugere-se exames complementares.;ANORMAL;not_normal;RIM ESQUERDO;rim_esquerdo;0
335;FAHIFEL;de dimensões fora dos limit
342;TDECAB;Falta descrição e impressão diagnóstica do código TDECAB;Falta descrição e impressão diagnóstica do código TDECAB;ANORMAL;not_normal;TESTÍCULOS;testiculos;0
341;TEECAB;Falta descrição e impressão diagnóstica do código TEECAB;Falta descrição e impressão diagnóstica do código TEECAB;ANORMAL;not_normal;TESTÍCULOS;testiculos;0
340;LNPREA;linfonodo portal medindo <var1> cm x <var2> cm, com margens pouco irregulares, limites bem definidos, ecotextura homogênea e com ecogenicidade diminuída.;Linfonodo portal reativo a processo inflamatório/infeccioso, não podendo descartar por completo processo neoplásico.;ANORMAL;not_normal;LINFONODOS;linfonodos;0
338;BXCIA;FALTA CADASTRAR BXCIA!!!!;FALTA CADASTRAR BXCIA!!!!;ANORMAL;not_normal;BEXIGA;bexiga;0
337;REHIF;formato mantido e localizado em topografia habitual, medindo <var1> cm de comprimento em plano dorsal. Com aumento de ecogenicidade de corticais. Não há evidências sonográficas de hidronefrose ou imagens compatíveis com cálculos.;Rim esquerdo: O aumento de ecogenicidade de cortical renal é compatível com a idade ou peso do paciente, porém frente, suspeita de nefropatia aguda, sugere-se exames complementares.;ANORMAL;not_normal;RIM ESQUERDO;rim_esquerdo;0
336;REMPDC;rim esquerdo com tamanho preservado, medindo <var1> cm, moderada perda da diferenciação corticomedular. Relação corticomedular preservada.;Não se descarta nefropatia. Caso clinicamente indicado, sugere-se exames complementares.;ANORMAL;not_normal;RIM ESQUERDO;rim_esquerdo;0
335;FAHIFEL;de dimensões fora dos limites do gradil costal, superfície lisa, margens afiladas, ecotextura preservada, porém, ecogenicidade aumentada. Arquitetura vascular portal e intra-hepática preservadas quanto ao calibre e trajeto dos vasos.;Hepatomegalia. O aumento da ecogenicidade hepática pode estar relacionado a deposição de gordura (comum em gatos idosos e/ou obesos), porém, não se descarta lipidose, colangiohepatite crônica.';ANORMAL;not_normal;FÍGADO;figado;0
334;FAHIC;de dimensões fora dos limites do gradil costal, superfície lisa, margens afiladas, ecotextura dentro dos limites da normalidade. Ecogenicidade aumentada. Arquitetura vascular portal e intra-hepática preservadas quanto ao calibre e trajeto dos vasos.;Hepatomegalia. O aumento da ecogenicidade hepática possui como principais diagnósticos diferenciais: esteatose (infiltração gordurosa), hepatopatia esteroidal (diabetes mellitus e/ou hipoadrenocorticismo).;ANORMAL;not_normal;FÍGADO;figado;0
333;ESTUL;repleto por conteúdo gasoso e mucoso. Parede espessa em corpo gástrico (medindo aproximadamente <var1> cm) com estratificação parietal mantida. Em corpo de fundo gástrico nota-se discreta descontinuidade de camada mucosa (provável).;Estômago: processo inflamatório/infeccioso (gastrite) associado a prováveis úlceras gástricas. Caso clinicamente indicado sugere-se realização de endoscopia digestiva.;ANORMAL;not_normal;ESTÔMAGO;estomago;0
332;LFESPREA;linfonodo esplênico aumentado de tamanho medindo <var1> cm x <var2> cm, com perda de seu formato, pouco heterogêneos com ecogenicidade diminuída.;Linfonodo esplênico reativo a processo inflamatório/infeccioso, não podendo descartar por completo processo neoplásico.;ANORMAL;not_normal;LINFONODOS;linfonodos;0
331;GASTROENTERITE;2;2;ANORMAL;not_normal;INTESTINO DELGADO;intestino_delgado;328
330;GASTROENTERITE;1;1;ANORMAL;not_normal;ESTÔMAGO;estomago;316
329;CALCULOBX;em parede dorsal nota-se estrutura hiperecogênica.;Cálculo em bexiga.;ANORMAL;not_normal;BEXIGA;bexiga;0
327;OVDMC;FALTA CADASTRAR OVDMC;FALTA CADASTRAR OVDMC;ANORMAL;not_normal;OVÁRIOS;ovario;0
326;OVEMC;FALTA CADASTRAR OVEMC;FALTA CADASTRAR OVEMC;ANORMAL;not_normal;OVÁRIOS;ovario;0
325;BCND;FALTA CADASTRAR;FALTA CADASTRAR;ANORMAL;not_normal;BAÇO;baco;0
324;FARNDN;de dimensões fora dos limites do gradil costal, superfície lisa, margens afiladas, ecotextura dentro dos limites da normalidade. Ecogenicidade diminuída. Arquitetura vascular portal e intra-hepática preservadas quanto ao calibre e trajeto dos vasos.;Hepatomegalia. Fígado reativo a processo inflamatório/infeccioso/toxêmico, não podendo descartar o processo neoplásico.;ANORMAL;not_normal;FÍGADO;figado;0
323;LFIMNDN;FALTA CADASTRAR;FALTA CADASTRAR;ANORMAL;not_normal;LINFONODOS;linfonodos;0
322;COLANGIO;FALTA CADASTRAR;FALTA CADASTRAR;ANORMAL;not_normal;FÍGADO;figado;0
321;LLRHR;pouca quantidade de conteúdo anecogênico livre em recesso hepatorrenal.;Pouca quantidade de líquido livre em recesso hepatorrenal.;ANORMAL;not_normal;OUTROS;outros;0
320;CECOLON;nota-se estrutura de superfície hiperecogênica, formadora de sombreamento acústico posterior, medindo <var1> cm, sem perfuração ou obstrução no momento deste exame.;Cólon: corpo estranho em cólon, sem perfuração ou obstrução no momento deste exame.;ANORMAL;not_normal;CÓLON;colon;0
319;PIO;Corpo de útero aumentado de tamanho medindo <var1> cm, preenchido por conteúdo anecogênico e com moderada quantidade de pontos ecogênicos em suspensão. Paredes espessas e irregulares.;Útero: processo inflamatório / infeccioso (piometra/mucometra).;ANORMAL;not_normal;ÚTERO;utero;0
318;REDPRD;Medindo <var1> cm de comprimento em plano dorsal, com moderada perda da relação e diferenciação corticomedular.;Rim esquerdo: não se descarta nefropatia, caso clinicamente indicado sugere-se exames complementares.;ANORMAL;not_normal;RIM ESQUERDO;rim_esquerdo;0
317;RDDPRD;Medindo <var1> cm de comprimento em plano dorsal, com moderada perda da relação e diferenciação corticomedular.;Rim direito: não se descarta nefropatia, caso clinicamente indicado sugere-se exames complementares.;ANORMAL;not_normal;RIM DIREITO;rim_direito;0
316;LPDA;lobo pancreático direito aumentado de tamanho, medindo <var1> cm, homogêneo e com ecogenicidade dentro da normalidade.;Pâncreas: provável pancreatopatia, caso clinicamente indicado sugere-se exames complementares;ANORMAL;not_normal;PÂNCREAS;pancreas;0
315;ESTDILCA;Estômago dilatado por conteúdo alimentar.;Estômago: dilatado por conteúdo alimentar. Caso clinicamente indicado, sugere-se acompanhamento ultrassonográfico com o animal em jejum;ANORMAL;not_normal;ESTÔMAGO;estomago;0
314;BXDIL;Dilatada por conteúdo anecogênico.;;ANORMAL;not_normal;BEXIGA;bexiga;0
313;TESTEC;Em linha média subcutânea inguinal nota-se testículo medindo <var1>  cm x <var2> cm, com forma, contorno, ecogenicidade e ecotextura preservadas.;Testículo ectópico, localizado em região subcutânea inguinal no momento deste exame.;ANORMAL;not_normal;TESTÍCULOS;testiculos;0
312;REHIDRO;Pelve renal dilatada evoluindo para processo de hidronefrose, medindo <var1> cm;Pielectasia esquerda evoluindo para hidronefrose.;ANORMAL;not_normal;RIM ESQUERDO;rim_esquerdo;0
311;RDHIDRO;Pelve renal dilatada evoluindo para processo de hidronefrose, medindo <var1> cm;Pielectasia direita evoluindo para hidronefrose.;ANORMAL;not_normal;RIM DIREITO;rim_direito;0
310;LPDACRO;Lobo pancreático direito aumentado de tamanho medindo <var1> cm, heterogêneo e com ecogenicidade aumentada.;Pâncreas: provável pancreatite crônica, caso clinicamente indicado sugere-se exames complementares.;ANORMAL;not_normal;PÂNCREAS;pancreas;0
309;TRICO;com conteúdo luminal de padrão misto (gás e alimento), paredes de aspecto sonográfico mantido com padrão em camadas. Em fundo gástrico nota-se estrutura de superfície hiperecogênica formadora de discreto sombreamento acústico posterior medindo <var1> cm.;Estômago: provável tricobezoar (bola de pelo).;ANORMAL;not_normal;ESTÔMAGO;estomago;0
308;HERNIAABD;Descontinuidade de musculatura em região abdominal, medindo <var1> cm. Conteúdo herniado: gordura abdominal.;Hérnia abdominal. Conteúdo herniado no momento deste exame: gordura abdominal, sem sinal ultrassonográfico de encarceramento.;ANORMAL;not_normal;OUTROS;outros;0
307;ADDANDN;aumentada de tamanho, medindo <var1> cm x <var2> cm x <var3> cm (polo caudal x polo cranial x comprimento).;Adrenomegalia direita, não podendo descartar por completo processo neoplásico.;ANORMAL;not_normal;ADRENAL DIREITA;adrenal_direita;0
306;ADEANDN;aumentada de tamanho, medindo <var1> cm x <var2> cm x <var3> cm (polo caudal x polo cranial x comprimento).;Adrenomegalia esquerda, não podendo descartar por completo processo neoplásico.;ANORMAL;not_normal;ADRENAL ESQUERDA;adrenal_esquerda;0
305;BXCMA;repleta por conteúdo anecogênico, com parede cranioventral espessadas e irregulares, medindo <var1> cm. Em parede dorsal nota-se múltiplas estrutura hiperecogênicas, formadoras de sombreamento acústico posterior, medindo <var2> cm a maior e <var3> cm a menor.;Bexiga: processo inflamatório/infeccioso (cistite). Múltiplos cálculos em bexiga.;ANORMAL;not_normal;BEXIGA;bexiga;0
304;VBIEST;preenchida por adequada quantidade de conteúdo anecogênico em parede dorsal nota-se importante quantidade de material ecogênico depositado em fundo.;Vesícula biliar: importante quantidade de lama biliar, podendo estar relacionada a hipofunção motora biliar (senescência) ou comorbidades que levem a alteração da composição da bile.;ANORMAL;not_normal;VESÍCULA BILIAR;vesicula_biliar;0
303;TEMINE;testículo esquerdo com tamanho preservado. apresentando parênquima heterogêneo, multifocos hiperecogênicos, formadores de sombreamento acústico posterior.;Testículo esquerdo apresentando mineralização de parênquima, podendo estar relacionado a senescência ou processo neoplásico.;ANORMAL;not_normal;TESTÍCULOS;testiculos;0
302;AEROEST;repleto por conteúdo gasoso (aerofagia), paredes de aspecto sonográfico mantido com padrão em camadas.;Estômago: dilatado (aerofagia). Caso clinicamente indicado sugere-se exames complementares.;ANORMAL;not_normal;ESTÔMAGO;estomago;3
301;MESADJRINSHIPER;Mesentério adjacente aos rins com aumento da ecogenicidade.;O aumento da ecogenicidade de mesentério adjacente aos rins é indicativo de reatividade a processo inflamatório / infeccioso.;ANORMAL;not_normal;OUTROS;outros;0
300;FREA;de dimensões dentro dos limites do gradil costal, superfície lisa, margens afiladas, ecotextura dentro dos limites da normalidade. Ecogenicidade diminuída. Arquitetura vascular portal e intra-hepática preservadas quanto ao calibre e trajeto dos vasos.;Fígado: reativo a processo inflamatório/infeccioso/toxêmico.;ANORMAL;not_normal;FÍGADO;figado;0
299;UTP;Corpo de útero aumentado de tamanho medindo <var1> cm, preenchido por conteúdo anecogênico e com moderada quantidade de pontos ecogênicos em suspensão. Paredes espessas e irregulares.;Útero: processo inflamatório / infeccioso (piometra/mucometra).;ANORMAL;not_normal;ÚTERO;utero;0
298;ADDAPCA;aumentada de tamanho em polo caudal, medindo <var1> cm x <var2> cm x <var3> cm (polo caudal x polo cranial x comprimento);Adrenomegalia direita.;ANORMAL;not_normal;ADRENAL DIREITA;adrenal_direita;0
297;ADEAPCA;aumentada de tamanho em polo caudal, medindo <var1> cm x <var2> cm x <var3> cm (polo caudal x polo cranial x comprimento);Adrenomegalia esquerda.;ANORMAL;not_normal;ADRENAL ESQUERDA;adrenal_esquerda;0
296;LEPF;linfonodo esplênico aumentado de tamanho medindo <var1> cm x <var2> cm, com perda de seu formato, pouco heterogêneos com ecogenicidade diminuída.;Linfonodo esplênico reativo a processo inflamatório/infeccioso, não podendo descartar por completo processo neoplásico.;ANORMAL;not_normal;LINFONODOS;linfonodos;0
295;FAHE;de dimensões fora dos limites do gradil costal, superfície lisa, margens afiladas, ecotextura preservada, porém, ecogenicidade aumentada. Arquitetura vascular portal e intra-hepática preservadas quanto ao calibre e trajeto dos vasos.;"Hepatomegalia. 
O aumento da ecogenicidade hepática possui como principais diagnósticos diferenciais: esteatose (infiltração gordurosa), hepatopatia esteroidal (diabetes mellitus e/ou hiperadrenocorticismo).";ANORMAL;not_normal;FÍGADO;figado;0
294;ESTLL;Nota-se adjacente ao estômago conteúdo anecogênico livre.;Líquido livre adjacente ao estômago no momento deste exame, caso clinicamente indicado sugere-se exames complementares.;ANORMAL;not_normal;ESTÔMAGO;estomago;0
293;LIMREA;linfonodos ilíaco medial discretamente aumentados de tamanho, pouco heterogêneos com ecogenicidade mista.;Linfonodos ilíaco medial reativos a processo inflamatório/infeccioso.;ANORMAL;not_normal;LINFONODOS;linfonodos;0
292;RECHIC;formato mantido e localizado em topografia habitual, medindo <var1> cm de comprimento em plano dorsal. Com aumento de ecogenicidade de corticais. Não há evidências sonográficas de hidronefrose ou imagens compatíveis com cálculos.;Rim esquerdo: O aumento de ecogenicidade de cortical renal é compatível com a idade ou peso do paciente, porém frente, suspeita de nefropatia aguda, sugere-se exames complementares.;ANORMAL;not_normal;RIM ESQUERDO;rim_esquerdo;0
291;RDCHIC;formato mantido e localizado em topografia habitual, medindo <var1> cm de comprimento em plano dorsal. Com aumento de ecogenicidade de corticais. Não há evidências sonográficas de hidronefrose ou imagens compatíveis com cálculos.;Rim direito: O aumento de ecogenicidade de cortical renal é compatível com a idade ou peso do paciente, porém frente, suspeita de nefropatia aguda, sugere-se exames complementares.;ANORMAL;not_normal;RIM DIREITO;rim_direito;0
290;ESTMR;Mesentério adjacente ao estômago com aumento da ecogenicidade.;O aumento da ecogenicidade de mesentério adjacente ao estômago é indicativo de reatividade a processo inflamatório / infeccioso.;ANORMAL;not_normal;ESTÔMAGO;estomago;0
289;CAVB;repleta, paredes finas e ecogênicas com conteúdo anecogênico e homogêneo. Em parede dorsal nota-se estrutura hiperecogênica, formadora de sombreamento acústico posterior, medindo <var1> cm.;Cálculo em vesícula biliar.;ANORMAL;not_normal;VESÍCULA BILIAR;vesicula_biliar;6
288;REIPRD;Medindo <var1> cm de comprimento em plano dorsal, com importante perda da relação e diferenciação corticomedular.;Rim esquerdo: não se descarta nefropatia, caso clinicamente indicado sugere-se exames complementares.;ANORMAL;not_normal;RIM ESQUERDO;rim_esquerdo;0
287;RDIPRD;Medindo <var1> cm de comprimento em plano dorsal, com importante perda da relação e diferenciação corticomedular.;Rim direito: não se descarta nefropatia, caso clinicamente indicado sugere-se exames complementares.;ANORMAL;not_normal;RIM DIREITO;rim_direito;4
286;UB;em região umbilical nota-se descontinuidade de parede muscular, medindo <var1> cm aproximadamente, com conteúdo herniado no momento deste exame: gordura abdominal.;Presença de hérnia umbilical com gordura abdominal herniada no momento deste exame.;ANORMAL;not_normal;OUTROS;outros;0
